Название вакансии,Название компании,зарплата,ссылка на вакансию
Программист 1С,ООО БизнесТрансАзия-МСК,от 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/105838244?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,STROTSKIS GROUP,от 270 000 ₽ на руки,https://hh.ru/vacancy/104087889?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров на языке C,Wiren Board,150 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/104633187?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"СИВМА, группа компаний",135 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/106070407?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-консультант 1С,Бюро программ,160 000 – 160 000 ₽ на руки,https://hh.ru/vacancy/105504275?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С программист,АО Совфрахт,до 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/106100866?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик web-интерфейсов для встроенного ПО,Алентис Электроникс,до 50 000 ₽ до вычета налогов,https://hh.ru/vacancy/105938832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C/С++,ООО ИНАС+,от 250 000 ₽ на руки,https://hh.ru/vacancy/105451816?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Ruby,ООО Рейне,150 000 – 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105882523?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ФГБУ Федеральный центр тестирования,85 000 – 90 000 ₽ на руки,https://hh.ru/vacancy/105874055?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Opencart,ООО КАНАПЕКЛАБ,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105398926?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик/программист 1С УНФ,ООО Умные Устройства,180 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104374385?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист GO,ООО Автомакон,до 559 000 ₽ до вычета налогов,https://hh.ru/vacancy/96993936?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист KNX,Anima Technologies,от 140 000 ₽ на руки,https://hh.ru/vacancy/105667860?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С (Удаленно),ООО КСА,250 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/104093535?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C#,ООО Кэрот Бродкаст,100 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104542890?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-консультант 1С,ООО Тинисио,220 000 – 320 000 ₽ на руки,https://hh.ru/vacancy/105878932?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Куратор онлайн-школы,ООО Внедренцы и Программисты,40 000 – 60 000 ₽ до вычета налогов,https://hh.ru/vacancy/106001540?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Дактор (ООО УК Авто-Премьер),200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/106078155?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик Bitrix24/Битрикс24,"СиСофт, (CSoft)",до 250 000 ₽ на руки,https://hh.ru/vacancy/105996292?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Техноспэйс,от 150 000 ₽ на руки,https://hh.ru/vacancy/105375260?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Аэроприбор-Восход,от 130 000 ₽ до вычета налогов,https://hh.ru/vacancy/104662802?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ФКУ Военно-социальный центр Министерства обороны Российской Федерации,от 70 000 ₽ на руки,https://hh.ru/vacancy/106077640?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-Stack Developer,ИП Панин Павел Сергеевич,от 250 000 ₽ на руки,https://hh.ru/vacancy/105880104?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Infosuite,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/106074527?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Е8,от 250 000 ₽ на руки,https://hh.ru/vacancy/104722111?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java программист,ООО ИНАС+,от 250 000 ₽ на руки,https://hh.ru/vacancy/105451917?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (удаленный формат),ООО КСА,260 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/100321458?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший backend-разработчик,SW Development,45 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/105357916?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - Разработка голосового чата для VR,ООО Интеллектуальные Терминалы,до 200 000 ₽ на руки,https://hh.ru/vacancy/105250578?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель программирования (удаленно),ЧУ ДО Московская школа программистов,до 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/104395470?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО РИМА,от 180 000 ₽ до вычета налогов,https://hh.ru/vacancy/105990861?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,ООО ПРОКОД,до 120 000 ₽ на руки,https://hh.ru/vacancy/104916929?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Консалит,200 000 – 230 000 ₽ до вычета налогов,https://hh.ru/vacancy/104720497?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1с,BUSINESS RELATIONSHIP GROUP,220 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104389790?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С/Разработчик 1С,ООО Альтео Софт,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105534159?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1 С,ООО Симпл Деливери Груп,от 300 000 ₽ на руки,https://hh.ru/vacancy/95116656?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++/Qt,ООО АМИКОН,160 000 – 230 000 ₽ до вычета налогов,https://hh.ru/vacancy/100063653?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО Парма Медикал,от 180 000 ₽ до вычета налогов,https://hh.ru/vacancy/104699269?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ИнтерЛек,от 200 000 ₽ на руки,https://hh.ru/vacancy/105882434?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ВЕДА КОНСАЛТИНГ,от 180 000 ₽ до вычета налогов,https://hh.ru/vacancy/105985815?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Успешный код,от 180 000 ₽ на руки,https://hh.ru/vacancy/104684066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Прайм Финанс,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105233921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ДиГри,от 240 000 ₽ на руки,https://hh.ru/vacancy/97905631?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ГК АВТОРУСЬ,300 000 – 400 000 ₽ на руки,https://hh.ru/vacancy/105122790?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,ООО Автомакон,297 000 – 460 000 ₽ до вычета налогов,https://hh.ru/vacancy/105817902?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Зитар,250 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104608229?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET С# Developer (Программист в IT компанию),"""qWell""",от 170 000 ₽ на руки,https://hh.ru/vacancy/102608300?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Bitrix fullstack,ЗАО Ирбис-Т,от 190 000 ₽ на руки,https://hh.ru/vacancy/105573179?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ФГБУ ГИВЦ Минкультуры России,от 170 000 ₽ на руки,https://hh.ru/vacancy/105983934?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С#,ООО Бриф,220 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/105727771?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист / Разработчик / 1С,ООО АБ-Бэттэрис,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106013944?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Амплитуда НТЦ,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/101958722?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Ампермагнит,от 170 000 ₽ на руки,https://hh.ru/vacancy/104853364?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1 С,ООО Линия ИТ,от 200 000 ₽ на руки,https://hh.ru/vacancy/104795851?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,RE Сoders,от 250 000 ₽ на руки,https://hh.ru/vacancy/95180600?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО Базис,120 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105308688?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C/C++ Программист,ООО ДЕФАН,от 100 000 ₽ на руки,https://hh.ru/vacancy/104737106?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Омега,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105485637?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С,ООО Фирма Бард,от 230 000 ₽ на руки,https://hh.ru/vacancy/104884863?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Bitrix24,ООО ЕвроТракСервис,от 250 000 ₽ на руки,https://hh.ru/vacancy/105333830?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Методист по искусственному интеллекту,ЧУ ДО Московская школа программистов,до 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/106010158?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1 С,ООО ЛУКАВТО,от 150 000 ₽ на руки,https://hh.ru/vacancy/105782446?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,АО Завод ПРОТОН,от 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/105809689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,Круизы&Путешествия,180 000 – 190 000 ₽ на руки,https://hh.ru/vacancy/104926277?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С разработчик,ИП Изтелеуова Ольга Владимировна,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104836510?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ФГУП НО РАО,120 000 – 140 000 ₽ до вычета налогов,https://hh.ru/vacancy/104174306?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"АО Топаз, НПП",от 106 000 ₽ до вычета налогов,https://hh.ru/vacancy/105751382?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,AXELSOFT,200 000 – 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/104538834?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Методист образовательных курсов по программированию для школьников,ЧУ ДО Московская школа программистов,от 80 000 ₽ на руки,https://hh.ru/vacancy/105136395?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист САПР,Группа компаний «Триумф»,60 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/105539679?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО ММП имени В.В. Чернышёва,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/104060747?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior 1С разработчик,Effective Mobile,от 70 000 ₽ на руки,https://hh.ru/vacancy/105228688?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик СУБД Progress (стажер),АО Банковские Информационные Системы,до 50 000 ₽ до вычета налогов,https://hh.ru/vacancy/105045163?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - Тьютор,ООО Важные Навыки,до 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105733908?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Методист ЕГЭ по информатике,ЧУ ДО Московская школа программистов,до 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/102973310?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Менеджер онлайн-школы, академия 1С",ООО Внедренцы и Программисты,40 000 – 60 000 ₽ до вычета налогов,https://hh.ru/vacancy/105934719?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажёр,Cetera,17 000 – 17 000 ₽ на руки,https://hh.ru/vacancy/104750284?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ФГБУ НМИЦ ХИРУРГИИ ИМ. А.В. ВИШНЕВСКОГО МИНЗДРАВА РОССИИ,70 000 – 95 000 ₽ на руки,https://hh.ru/vacancy/98348174?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель Python,ЧУ ДО Московская школа программистов,до 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/106010298?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель Python,ЧУ ДО Московская школа программистов,до 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105533668?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Региональное Управление КМЗ,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/102578034?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
